,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
24,JG063A,57,S056.4.2_vs_S056.4.12,2.0,False,C9,100.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,94,5.0,2.0,40,0.03473812254625275,0.000778782763518393,-0.9268794436165991
34,JG063A,81,S056.4.2_vs_S056.4.12,2.0,False,D9,100.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,134,5.0,2.0,40,0.04226179121152242,0.0020598014816641808,-0.9113543143131355
44,JG063A,105,S056.4.2_vs_S056.4.12,3.0,False,E9,1000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,26.946018,174,5.0,3.0,40,0.1240194420970695,0.10075656324625015,-0.7477347800839118
54,JG063A,129,S056.4.2_vs_S056.4.12,3.0,False,F9,1000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,26.424168,214,5.0,3.0,40,0.13587711766123894,0.11058882623910904,-0.727278155746007
64,JG063A,153,S056.4.2_vs_S056.4.12,4.0,False,G9,10000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.834362,254,5.0,4.0,40,0.3224351058413374,0.29210785031318665,-0.38446659747704
74,JG063A,177,S056.4.2_vs_S056.4.12,4.0,False,H9,10000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.753397,294,5.0,4.0,40,0.3241033944071696,0.2938228249549866,-0.38678137264214624
84,JG063A,201,S056.4.2_vs_S056.4.12,5.0,False,I9,100000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.258228,334,5.0,5.0,40,0.5676546416448626,0.539842426776886,0.04154595752018263
94,JG063A,225,S056.4.2_vs_S056.4.12,5.0,False,J9,100000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.07674,374,5.0,5.0,40,0.5921937987485842,0.5573925375938416,0.07768461851908098
104,JG063A,249,S056.4.2_vs_S056.4.12,6.0,False,K9,1000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.506342,414,5.0,6.0,40,0.7838910587752101,0.7380884885787964,0.4598987081692807
114,JG063A,273,S056.4.2_vs_S056.4.12,6.0,False,L9,1000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.430247,454,5.0,6.0,40,0.7998157203701172,0.765019416809082,0.4733413875500611
124,JG063A,297,S056.4.2_vs_S056.4.12,7.0,False,M9,10000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,13.033136,492,5.0,7.0,40,0.9086968317281603,0.8584747314453125,0.772084874801396
134,JG063A,321,S056.4.2_vs_S056.4.12,7.0,False,N9,10000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,12.976938,532,5.0,7.0,40,0.9162416805651317,0.8674938678741455,0.775129519204354
144,JG063A,345,S056.4.2_vs_S056.4.12,8.0,False,O9,100000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,9.985737,572,5.0,8.0,40,0.9451745975399671,0.8756958246231079,0.9445702174269079
154,JG063A,369,S056.4.2_vs_S056.4.12,8.0,False,P9,100000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,10.0362835,612,5.0,8.0,40,0.9525942093059164,0.8972616195678711,0.9438322134307829
