WT_lg10_Copies,SNV_lg10_Copies,Blocker μM,Well,WellName,Sample,Blocker
1,1,0.0,1,A1,JG075E_001,L-MMMMx
1,2,0.0,2,A2,JG075E_002,L-MMMMx
1,3,0.0,3,A3,JG075E_003,L-MMMMx
1,4,0.0,4,A4,JG075E_004,L-MMMMx
1,5,0.0,5,A5,JG075E_005,L-MMMMx
1,6,0.0,6,A6,JG075E_006,L-MMMMx
1,7,0.0,7,A7,JG075E_007,L-MMMMx
1,8,0.0,8,A8,JG075E_008,L-MMMMx
1,1,0.1,9,A9,JG075E_009,L-MMMMx
1,2,0.1,10,A10,JG075E_010,L-MMMMx
1,3,0.1,11,A11,JG075E_011,L-MMMMx
1,4,0.1,12,A12,JG075E_012,L-MMMMx
1,5,0.1,13,A13,JG075E_013,L-MMMMx
1,6,0.1,14,A14,JG075E_014,L-MMMMx
1,7,0.1,15,A15,JG075E_015,L-MMMMx
1,8,0.1,16,A16,JG075E_016,L-MMMMx
1,1,0.31622776601683794,17,A17,JG075E_017,L-MMMMx
1,2,0.31622776601683794,18,A18,JG075E_018,L-MMMMx
1,3,0.31622776601683794,19,A19,JG075E_019,L-MMMMx
1,4,0.31622776601683794,20,A20,JG075E_020,L-MMMMx
1,5,0.31622776601683794,21,A21,JG075E_021,L-MMMMx
1,6,0.31622776601683794,22,A22,JG075E_022,L-MMMMx
1,7,0.31622776601683794,23,A23,JG075E_023,L-MMMMx
1,8,0.31622776601683794,24,A24,JG075E_024,L-MMMMx
2,1,0.0,25,B1,JG075E_025,L-MMMMx
2,2,0.0,26,B2,JG075E_026,L-MMMMx
2,3,0.0,27,B3,JG075E_027,L-MMMMx
2,4,0.0,28,B4,JG075E_028,L-MMMMx
2,5,0.0,29,B5,JG075E_029,L-MMMMx
2,6,0.0,30,B6,JG075E_030,L-MMMMx
2,7,0.0,31,B7,JG075E_031,L-MMMMx
2,8,0.0,32,B8,JG075E_032,L-MMMMx
2,1,0.1,33,B9,JG075E_033,L-MMMMx
2,2,0.1,34,B10,JG075E_034,L-MMMMx
2,3,0.1,35,B11,JG075E_035,L-MMMMx
2,4,0.1,36,B12,JG075E_036,L-MMMMx
2,5,0.1,37,B13,JG075E_037,L-MMMMx
2,6,0.1,38,B14,JG075E_038,L-MMMMx
2,7,0.1,39,B15,JG075E_039,L-MMMMx
2,8,0.1,40,B16,JG075E_040,L-MMMMx
2,1,0.31622776601683794,41,B17,JG075E_041,L-MMMMx
2,2,0.31622776601683794,42,B18,JG075E_042,L-MMMMx
2,3,0.31622776601683794,43,B19,JG075E_043,L-MMMMx
2,4,0.31622776601683794,44,B20,JG075E_044,L-MMMMx
2,5,0.31622776601683794,45,B21,JG075E_045,L-MMMMx
2,6,0.31622776601683794,46,B22,JG075E_046,L-MMMMx
2,7,0.31622776601683794,47,B23,JG075E_047,L-MMMMx
2,8,0.31622776601683794,48,B24,JG075E_048,L-MMMMx
3,1,0.0,49,C1,JG075E_049,L-MMMMx
3,2,0.0,50,C2,JG075E_050,L-MMMMx
3,3,0.0,51,C3,JG075E_051,L-MMMMx
3,4,0.0,52,C4,JG075E_052,L-MMMMx
3,5,0.0,53,C5,JG075E_053,L-MMMMx
3,6,0.0,54,C6,JG075E_054,L-MMMMx
3,7,0.0,55,C7,JG075E_055,L-MMMMx
3,8,0.0,56,C8,JG075E_056,L-MMMMx
3,1,0.1,57,C9,JG075E_057,L-MMMMx
3,2,0.1,58,C10,JG075E_058,L-MMMMx
3,3,0.1,59,C11,JG075E_059,L-MMMMx
3,4,0.1,60,C12,JG075E_060,L-MMMMx
3,5,0.1,61,C13,JG075E_061,L-MMMMx
3,6,0.1,62,C14,JG075E_062,L-MMMMx
